Dataset;BagF05;BagMCC;DTF05;DTMCC;J48F05;J48MCC;NBF05;NBMCC;SLF05;SLMCC;SMOF05;SMOMCC
ant-1-2006-study1And2;0.953;0.78;0.954;0.79;0.958;0.78;0.779;0.24;0.869;0.07;0.867;0.00
ant-1-2007-study1And2;0.574;0.24;0.505;0.17;0.557;0.22;0.436;0.11;0.542;0.22;0.488;0.21
ant-1-2008-study1And2;0.668;0.51;0.658;0.52;0.658;0.49;0.599;0.44;0.626;0.48;0.650;0.53
ant-1-2009-study1And2;0.490;0.28;0.503;0.29;0.608;0.43;0.596;0.42;0.586;0.38;0.538;0.35
ant-1-2010-study1And2;0.659;0.49;0.597;0.42;0.625;0.45;0.704;0.54;0.649;0.47;0.656;0.47
ant-1-2011-study1And2;0.000;0.00;0.000;0.00;0.000;0.00;0.000;0.06;0.000;0.00;0.000;0.00
ant-1-2012-study1And2;0.619;0.40;0.511;0.28;0.573;0.33;0.515;0.26;0.561;0.32;0.532;0.29
ant-2-2006-study1And2;0.343;0.24;0.254;0.16;0.302;0.20;0.367;0.27;0.232;0.16;0.000;0.00
ant-2-2007-study1And2;0.210;0.04;0.000;0.07;0.356;0.15;0.411;0.21;0.374;0.21;0.000;0.00
ant-2-2008-study1And2;0.165;0.08;0.165;0.08;0.135;0.03;0.302;0.15;0.127;0.07;0.000;0.00
ant-2-2009-study1And2;0.533;0.32;0.588;0.38;0.509;0.30;0.600;0.40;0.630;0.42;0.609;0.41
ant-2-2010-study1And2;0.804;0.63;0.714;0.54;0.697;0.51;0.519;0.29;0.721;0.52;0.530;0.33
ant-2-2011-study1And2;0.169;0.19;0.000;0.00;0.000;0.34;0.392;0.11;0.286;0.07;0.000;0.00
ant-2-2012-study1And2;0.780;0.62;0.780;0.62;0.827;0.66;0.447;0.34;0.185;0.08;0.000;0.00
camel-1-2008-study1And2;0.712;0.32;0.682;0.25;0.709;0.31;0.613;0.26;0.702;0.29;0.658;0.19
camel-1-2009-study1And2;0.681;0.53;0.645;0.46;0.666;0.49;0.612;0.41;0.637;0.44;0.603;0.40
camel-1-2010-study1And2;0.635;0.39;0.600;0.34;0.608;0.35;0.583;0.34;0.608;0.36;0.576;0.35
camel-1-2011-study1And2;0.644;0.40;0.579;0.33;0.627;0.38;0.559;0.32;0.566;0.33;0.523;0.31
camel-1-2012-study1And2;0.708;0.52;0.630;0.43;0.670;0.48;0.607;0.40;0.613;0.41;0.564;0.38
camel-2-2008-study1And2;0.832;0.36;0.797;0.15;0.813;0.25;0.730;0.21;0.789;0.00;0.789;0.00
camel-2-2009-study1And2;0.636;0.37;0.601;0.32;0.606;0.33;0.557;0.30;0.587;0.31;0.552;0.31
camel-2-2010-study1And2;0.823;0.66;0.786;0.61;0.812;0.62;0.537;0.26;0.743;0.55;0.729;0.55
camel-2-2011-study1And2;0.665;0.45;0.633;0.40;0.616;0.39;0.619;0.39;0.659;0.43;0.610;0.40
camel-2-2012-study1And2;0.695;0.48;0.674;0.44;0.698;0.49;0.590;0.36;0.600;0.37;0.500;0.32
cassandra-1-2010-study1And2;0.859;0.61;0.851;0.60;0.861;0.61;0.731;0.37;0.830;0.50;0.696;0.00
cassandra-1-2011-study1And2;0.797;0.48;0.794;0.46;0.786;0.46;0.658;0.30;0.802;0.46;0.748;0.33
cassandra-1-2012-study1And2;0.762;0.42;0.741;0.36;0.740;0.37;0.707;0.37;0.731;0.34;0.738;0.35
cassandra-2-2010-study1And2;0.850;0.43;0.835;0.35;0.855;0.42;0.747;0.34;0.829;0.33;0.787;0.00
cassandra-2-2011-study1And2;0.940;0.63;0.928;0.52;0.937;0.61;0.687;0.20;0.915;0.50;0.879;0.00
cassandra-2-2012-study1And2;0.831;0.27;0.805;0.00;0.811;0.14;0.769;0.33;0.811;0.13;0.805;0.00
cxf-1-2006-study1And2;0.995;0.99;0.985;0.98;0.995;0.99;0.733;0.73;0.904;0.88;0.907;0.88
cxf-1-2007-study1And2;0.638;0.44;0.563;0.34;0.595;0.39;0.489;0.27;0.505;0.29;0.335;0.23
cxf-1-2008-study1And2;0.684;0.52;0.607;0.42;0.643;0.48;0.623;0.44;0.645;0.46;0.632;0.45
cxf-1-2009-study1And2;0.746;0.46;0.688;0.34;0.709;0.37;0.586;0.26;0.673;0.30;0.648;0.30
cxf-1-2010-study1And2;0.588;0.37;0.507;0.28;0.543;0.32;0.524;0.30;0.547;0.33;0.482;0.27
cxf-1-2011-study1And2;0.677;0.49;0.634;0.43;0.678;0.49;0.636;0.42;0.661;0.45;0.667;0.46
cxf-1-2012-study1And2;0.653;0.47;0.622;0.43;0.624;0.44;0.611;0.42;0.625;0.43;0.549;0.39
cxf-2-2006-study1And2;0.786;0.70;0.702;0.61;0.753;0.67;0.531;0.35;0.599;0.42;0.497;0.34
cxf-2-2007-study1And2;0.685;0.45;0.610;0.31;0.640;0.36;0.588;0.32;0.617;0.32;0.587;0.32
cxf-2-2008-study1And2;0.683;0.42;0.662;0.38;0.687;0.43;0.683;0.41;0.713;0.45;0.691;0.42
