Dataset;ALLF05;ALLMCC;AF05;AMCC;PF05;PMCC;SF05;SMCC;S_AF05;S_AMCC;S_PF05;S_PMCC;A_PF05;A_PMCC
ant-1-2006-study1And2;0.953;0.78;0.953;0.78;0.958;0.78;0.871;0.14;0.947;0.73;0.957;0.79;0.952;0.76
ant-1-2007-study1And2;0.574;0.24;0.456;0.08;0.507;0.15;0.546;0.21;0.558;0.22;0.611;0.30;0.569;0.25
ant-1-2008-study1And2;0.668;0.51;0.682;0.52;0.665;0.52;0.581;0.39;0.700;0.55;0.632;0.48;0.663;0.50
ant-1-2009-study1And2;0.490;0.28;0.432;0.21;0.367;0.16;0.619;0.42;0.425;0.20;0.537;0.33;0.376;0.16
ant-1-2010-study1And2;0.659;0.49;0.647;0.47;0.653;0.48;0.694;0.52;0.654;0.48;0.639;0.47;0.659;0.49
ant-1-2011-study1And2;0.000;0.00;0.000;0.00;0.000;0.00;0.000;0.00;0.000;0.00;0.000;0.00;0.000;0.00
ant-1-2012-study1And2;0.619;0.40;0.530;0.30;0.574;0.33;0.597;0.37;0.583;0.35;0.625;0.40;0.551;0.31
ant-2-2006-study1And2;0.343;0.24;0.269;0.17;0.293;0.20;0.291;0.21;0.298;0.20;0.385;0.28;0.370;0.26
ant-2-2007-study1And2;0.210;0.04;0.238;0.08;0.269;0.09;0.087;0.02;0.241;0.05;0.157;0.01;0.238;0.08
ant-2-2008-study1And2;0.165;0.08;0.000;0.06;0.253;0.20;0.133;0.09;0.110;0.03;0.165;0.08;0.120;0.06
ant-2-2009-study1And2;0.533;0.32;0.414;0.20;0.464;0.24;0.566;0.36;0.557;0.35;0.518;0.31;0.450;0.23
ant-2-2010-study1And2;0.804;0.63;0.723;0.55;0.804;0.63;0.542;0.32;0.708;0.52;0.789;0.61;0.763;0.59
ant-2-2011-study1And2;0.169;0.19;0.196;0.12;0.352;0.01;0.000;0.16;0.000;0.32;0.339;0.02;0.299;0.05
ant-2-2012-study1And2;0.780;0.62;0.759;0.61;0.780;0.62;0.000;0.00;0.772;0.62;0.759;0.61;0.780;0.62
camel-1-2008-study1And2;0.712;0.32;0.677;0.23;0.692;0.27;0.694;0.28;0.702;0.29;0.719;0.34;0.698;0.29
camel-1-2009-study1And2;0.681;0.53;0.637;0.47;0.637;0.46;0.611;0.41;0.652;0.48;0.641;0.47;0.671;0.51
camel-1-2010-study1And2;0.635;0.39;0.593;0.33;0.604;0.34;0.592;0.34;0.593;0.33;0.619;0.36;0.624;0.37
camel-1-2011-study1And2;0.644;0.40;0.616;0.37;0.599;0.35;0.587;0.34;0.628;0.38;0.618;0.37;0.634;0.39
camel-1-2012-study1And2;0.708;0.52;0.700;0.52;0.634;0.44;0.631;0.42;0.699;0.51;0.645;0.45;0.708;0.53
camel-2-2008-study1And2;0.832;0.36;0.823;0.32;0.814;0.26;0.791;0.08;0.822;0.31;0.819;0.29;0.828;0.34
camel-2-2009-study1And2;0.636;0.37;0.626;0.36;0.609;0.33;0.569;0.28;0.630;0.36;0.617;0.34;0.651;0.39
camel-2-2010-study1And2;0.823;0.66;0.804;0.63;0.791;0.60;0.713;0.45;0.802;0.63;0.795;0.61;0.820;0.65
camel-2-2011-study1And2;0.665;0.45;0.622;0.39;0.601;0.36;0.642;0.41;0.644;0.42;0.637;0.41;0.648;0.43
camel-2-2012-study1And2;0.695;0.48;0.654;0.42;0.657;0.43;0.615;0.38;0.698;0.48;0.678;0.46;0.662;0.44
cassandra-1-2010-study1And2;0.859;0.61;0.839;0.57;0.858;0.61;0.768;0.37;0.822;0.52;0.842;0.56;0.856;0.60
cassandra-1-2011-study1And2;0.797;0.48;0.784;0.44;0.782;0.43;0.762;0.36;0.790;0.46;0.780;0.42;0.815;0.52
cassandra-1-2012-study1And2;0.762;0.42;0.747;0.38;0.731;0.34;0.735;0.35;0.750;0.39;0.744;0.37;0.741;0.36
cassandra-2-2010-study1And2;0.850;0.43;0.841;0.38;0.861;0.47;0.794;0.13;0.838;0.38;0.860;0.47;0.854;0.44
cassandra-2-2011-study1And2;0.940;0.63;0.916;0.48;0.935;0.59;0.895;0.32;0.919;0.54;0.930;0.57;0.944;0.65
cassandra-2-2012-study1And2;0.831;0.27;0.818;0.19;0.821;0.20;0.815;0.17;0.827;0.25;0.836;0.29;0.833;0.29
cxf-1-2006-study1And2;0.995;0.99;0.994;0.99;0.993;0.98;0.936;0.93;0.995;0.99;0.993;0.98;0.995;0.99
cxf-1-2007-study1And2;0.638;0.44;0.586;0.37;0.555;0.34;0.455;0.24;0.588;0.37;0.578;0.36;0.620;0.42
cxf-1-2008-study1And2;0.684;0.52;0.629;0.45;0.607;0.42;0.617;0.43;0.662;0.50;0.631;0.45;0.654;0.48
cxf-1-2009-study1And2;0.746;0.46;0.729;0.42;0.723;0.40;0.658;0.29;0.724;0.41;0.726;0.41;0.733;0.43
cxf-1-2010-study1And2;0.588;0.37;0.553;0.33;0.536;0.31;0.512;0.29;0.563;0.34;0.531;0.30;0.566;0.35
cxf-1-2011-study1And2;0.677;0.49;0.682;0.50;0.661;0.46;0.648;0.44;0.687;0.51;0.645;0.44;0.686;0.50
cxf-1-2012-study1And2;0.653;0.47;0.645;0.46;0.644;0.46;0.618;0.43;0.635;0.45;0.652;0.47;0.640;0.46
cxf-2-2006-study1And2;0.786;0.70;0.769;0.69;0.722;0.59;0.511;0.34;0.776;0.69;0.708;0.59;0.783;0.70
cxf-2-2007-study1And2;0.685;0.45;0.651;0.38;0.627;0.34;0.587;0.29;0.660;0.40;0.661;0.40;0.661;0.40
cxf-2-2008-study1And2;0.683;0.42;0.663;0.38;0.690;0.42;0.645;0.35;0.675;0.41;0.693;0.43;0.681;0.42
cxf-2-2009-study1And2;0.587;0.44;0.503;0.33;0.544;0.38;0.360;0.23;0.497;0.32;0.565;0.41;0.599;0.45
cxf-2-2010-study1And2;0.744;0.46;0.728;0.44;0.695;0.36;0.721;0.41;0.712;0.40;0.693;0.36;0.734;0.44
cxf-2-2011-study1And2;0.743;0.55;0.716;0.50;0.722;0.50;0.646;0.38;0.718;0.51;0.751;0.56;0.744;0.55
cxf-2-2012-study1And2;0.704;0.45;0.696;0.43;0.649;0.36;0.667;0.38;0.706;0.45;0.662;0.38;0.709;0.45
derby-1-2006-study1And2;0.983;0.21;0.982;0.00;0.982;0.00;0.982;0.00;0.982;0.00;0.982;0.00;0.983;0.21
derby-1-2007-study1And2;0.550;0.34;0.493;0.28;0.516;0.30;0.545;0.34;0.535;0.33;0.513;0.30;0.528;0.32
derby-1-2008-study1And2;0.480;0.29;0.527;0.34;0.518;0.33;0.435;0.24;0.495;0.30;0.462;0.27;0.495;0.30
derby-1-2009-study1And2;0.516;0.34;0.466;0.29;0.307;0.15;0.363;0.19;0.444;0.26;0.497;0.32;0.445;0.26
derby-1-2010-study1And2;0.568;0.37;0.543;0.35;0.579;0.38;0.495;0.29;0.546;0.35;0.559;0.36;0.590;0.39
derby-1-2011-study1And2;0.470;0.20;0.433;0.16;0.527;0.28;0.482;0.22;0.433;0.16;0.523;0.27;0.479;0.22
derby-1-2012-study1And2;0.393;0.21;0.370;0.18;0.271;0.09;0.242;0.12;0.478;0.30;0.316;0.12;0.353;0.16
derby-2-2006-study1And2;0.739;0.39;0.710;0.31;0.624;0.04;0.658;0.19;0.728;0.37;0.675;0.23;0.739;0.38
derby-2-2007-study1And2;0.667;0.38;0.638;0.33;0.599;0.27;0.620;0.30;0.630;0.32;0.641;0.34;0.644;0.34
derby-2-2008-study1And2;0.589;0.40;0.566;0.37;0.560;0.37;0.546;0.35;0.633;0.45;0.638;0.45;0.569;0.38
derby-2-2009-study1And2;0.531;0.22;0.527;0.22;0.521;0.21;0.564;0.28;0.577;0.29;0.515;0.20;0.499;0.18
derby-2-2010-study1And2;0.592;0.30;0.592;0.30;0.523;0.20;0.495;0.18;0.581;0.29;0.558;0.25;0.589;0.30
derby-2-2011-study1And2;0.359;0.16;0.318;0.12;0.328;0.14;0.396;0.21;0.337;0.14;0.301;0.12;0.310;0.12
derby-2-2012-study1And2;0.713;0.15;0.734;0.23;0.708;0.12;0.689;0.05;0.724;0.19;0.688;0.04;0.717;0.16
hadoop-1-2009-study1And2;0.766;0.57;0.766;0.57;0.650;0.44;0.634;0.38;0.766;0.57;0.661;0.51;0.766;0.57
hadoop-1-2010-study1And2;0.620;0.43;0.591;0.40;0.525;0.32;0.565;0.36;0.613;0.42;0.572;0.37;0.590;0.40
hadoop-1-2011-study1And2;0.981;0.97;0.651;0.45;0.648;0.44;0.973;0.93;0.981;0.97;0.981;0.97;0.652;0.45
hadoop-1-2012-study1And2;0.786;0.64;0.743;0.58;0.722;0.51;0.684;0.42;0.773;0.63;0.766;0.60;0.768;0.62
hadoop-2-2009-study1And2;0.758;0.38;0.752;0.38;0.731;0.32;0.719;0.28;0.762;0.39;0.748;0.36;0.754;0.38
hadoop-2-2010-study1And2;0.985;0.00;0.985;0.00;0.985;0.00;0.985;0.00;0.986;0.26;0.985;0.00;0.985;0.00
hadoop-2-2011-study1And2;0.641;0.58;0.623;0.48;0.613;0.49;0.459;0.32;0.623;0.48;0.620;0.55;0.640;0.58
hadoop-2-2012-study1And2;0.695;0.50;0.620;0.39;0.642;0.43;0.541;0.31;0.636;0.41;0.680;0.48;0.671;0.47
httpd-1-2005-study1And2;0.761;0.51;0.642;0.31;0.594;0.26;0.683;0.37;0.716;0.43;0.668;0.35;0.687;0.38
httpd-1-2006-study1And2;0.996;0.00;0.996;0.00;0.996;0.00;0.996;0.00;0.996;0.00;0.996;0.00;0.996;0.00
httpd-1-2008-study1And2;0.336;0.03;0.404;0.13;0.287;0.03;0.474;0.22;0.435;0.15;0.407;0.11;0.325;0.01
httpd-1-2009-study1And2;0.538;0.27;0.412;0.12;0.545;0.28;0.619;0.38;0.449;0.17;0.567;0.31;0.641;0.41
httpd-1-2010-study1And2;0.725;0.05;0.728;0.07;0.747;0.09;0.728;0.07;0.725;0.05;0.732;0.05;0.723;0.09
httpd-1-2011-study1And2;0.908;0.04;0.911;0.00;0.911;0.00;0.911;0.00;0.911;0.00;0.911;0.00;0.908;0.04
httpd-1-2012-study1And2;0.595;0.30;0.512;0.18;0.503;0.16;0.590;0.29;0.547;0.23;0.497;0.15;0.509;0.17
httpd-2-2005-study1And2;1.000;0.00;1.000;0.00;1.000;0.00;1.000;0.00;1.000;0.00;1.000;0.00;1.000;0.00
httpd-2-2006-study1And2;0.000;0.04;0.000;0.00;0.000;0.00;0.000;0.00;0.000;0.00;0.000;0.03;0.366;0.27
httpd-2-2007-study1And2;0.724;0.19;0.796;0.43;0.738;0.24;0.693;0.07;0.774;0.35;0.757;0.29;0.721;0.18
httpd-2-2008-study1And2;0.506;0.22;0.325;0.02;0.260;0.06;0.370;0.06;0.412;0.11;0.430;0.12;0.412;0.11
httpd-2-2009-study1And2;0.831;0.49;0.712;0.05;0.789;0.33;0.723;0.03;0.778;0.27;0.789;0.33;0.752;0.15
httpd-2-2010-study1And2;0.581;0.13;0.600;0.16;0.653;0.27;0.684;0.34;0.586;0.13;0.580;0.13;0.578;0.11
httpd-2-2011-study1And2;0.856;0.00;0.854;0.03;0.856;0.00;0.852;0.05;0.854;0.03;0.854;0.03;0.856;0.00
httpd-2-2012-study1And2;0.582;0.49;0.522;0.42;0.500;0.41;0.522;0.42;0.522;0.42;0.514;0.42;0.548;0.45
jmeter-1-2003-study1And2;0.824;0.51;0.773;0.34;0.818;0.49;0.733;0.20;0.771;0.33;0.825;0.51;0.821;0.49
jmeter-1-2004-study1And2;0.486;0.32;0.507;0.34;0.523;0.36;0.439;0.27;0.516;0.35;0.495;0.33;0.484;0.31
jmeter-1-2005-study1And2;0.936;0.00;0.945;0.38;0.932;0.03;0.936;0.00;0.945;0.38;0.936;0.00;0.938;0.14
jmeter-1-2006-study1And2;0.515;0.40;0.571;0.45;0.333;0.26;0.446;0.35;0.571;0.45;0.398;0.31;0.495;0.39
jmeter-1-2007-study1And2;0.644;0.45;0.619;0.40;0.565;0.34;0.536;0.31;0.622;0.41;0.582;0.36;0.632;0.43
jmeter-1-2008-study1And2;0.911;0.27;0.915;0.35;0.904;0.16;0.899;0.00;0.911;0.31;0.903;0.15;0.911;0.27
