ALL	derby-1-2006-study1And2	0.21						
ALL	derby-1-2007-study1And2	0.34						
ALL	derby-1-2008-study1And2	0.29						
ALL	derby-1-2009-study1And2	0.34						
ALL	derby-1-2010-study1And2	0.37						
ALL	derby-1-2011-study1And2	0.20						
ALL	derby-1-2012-study1And2	0.21						
ALL	derby-2-2006-study1And2	0.39						
ALL	derby-2-2007-study1And2	0.38						
ALL	derby-2-2008-study1And2	0.40						
ALL	derby-2-2009-study1And2	0.22						
ALL	derby-2-2010-study1And2	0.30						
ALL	derby-2-2011-study1And2	0.16						
ALL	derby-2-2012-study1And2	0.15		
A	derby-1-2006-study1And2	0.00						
A	derby-1-2007-study1And2	0.28						
A	derby-1-2008-study1And2	0.34						
A	derby-1-2009-study1And2	0.29						
A	derby-1-2010-study1And2	0.35						
A	derby-1-2011-study1And2	0.16						
A	derby-1-2012-study1And2	0.18						
A	derby-2-2006-study1And2	0.31						
A	derby-2-2007-study1And2	0.33						
A	derby-2-2008-study1And2	0.37						
A	derby-2-2009-study1And2	0.22						
A	derby-2-2010-study1And2	0.30						
A	derby-2-2011-study1And2	0.12						
A	derby-2-2012-study1And2	0.23						
P	derby-1-2006-study1And2	0.00						
P	derby-1-2007-study1And2	0.30						
P	derby-1-2008-study1And2	0.33						
P	derby-1-2009-study1And2	0.15						
P	derby-1-2010-study1And2	0.38						
P	derby-1-2011-study1And2	0.28						
P	derby-1-2012-study1And2	0.09						
P	derby-2-2006-study1And2	0.04						
P	derby-2-2007-study1And2	0.27						
P	derby-2-2008-study1And2	0.37						
P	derby-2-2009-study1And2	0.21						
P	derby-2-2010-study1And2	0.20						
P	derby-2-2011-study1And2	0.14						
P	derby-2-2012-study1And2	0.12						
S	derby-1-2006-study1And2	0.00						
S	derby-1-2007-study1And2	0.34						
S	derby-1-2008-study1And2	0.24						
S	derby-1-2009-study1And2	0.19						
S	derby-1-2010-study1And2	0.29						
S	derby-1-2011-study1And2	0.22						
S	derby-1-2012-study1And2	0.12						
S	derby-2-2006-study1And2	0.19						
S	derby-2-2007-study1And2	0.30						
S	derby-2-2008-study1And2	0.35						
S	derby-2-2009-study1And2	0.28						
S	derby-2-2010-study1And2	0.18						
S	derby-2-2011-study1And2	0.21						
S	derby-2-2012-study1And2	0.05
S_A	derby-1-2006-study1And2	0.00						
S_A	derby-1-2007-study1And2	0.33						
S_A	derby-1-2008-study1And2	0.30						
S_A	derby-1-2009-study1And2	0.26						
S_A	derby-1-2010-study1And2	0.35						
S_A	derby-1-2011-study1And2	0.16						
S_A	derby-1-2012-study1And2	0.30						
S_A	derby-2-2006-study1And2	0.37						
S_A	derby-2-2007-study1And2	0.32						
S_A	derby-2-2008-study1And2	0.45						
S_A	derby-2-2009-study1And2	0.29						
S_A	derby-2-2010-study1And2	0.29						
S_A	derby-2-2011-study1And2	0.14						
S_A	derby-2-2012-study1And2	0.19						
S_P	derby-1-2006-study1And2	0.00						
S_P	derby-1-2007-study1And2	0.30						
S_P	derby-1-2008-study1And2	0.27						
S_P	derby-1-2009-study1And2	0.32						
S_P	derby-1-2010-study1And2	0.36						
S_P	derby-1-2011-study1And2	0.27						
S_P	derby-1-2012-study1And2	0.12						
S_P	derby-2-2006-study1And2	0.23						
S_P	derby-2-2007-study1And2	0.34						
S_P	derby-2-2008-study1And2	0.45						
S_P	derby-2-2009-study1And2	0.20						
S_P	derby-2-2010-study1And2	0.25						
S_P	derby-2-2011-study1And2	0.12						
S_P	derby-2-2012-study1And2	0.04						
A_P	derby-1-2006-study1And2	0.21						
A_P	derby-1-2007-study1And2	0.32						
A_P	derby-1-2008-study1And2	0.30						
A_P	derby-1-2009-study1And2	0.26						
A_P	derby-1-2010-study1And2	0.39						
A_P	derby-1-2011-study1And2	0.22						
A_P	derby-1-2012-study1And2	0.16						
A_P	derby-2-2006-study1And2	0.38						
A_P	derby-2-2007-study1And2	0.34						
A_P	derby-2-2008-study1And2	0.38						
A_P	derby-2-2009-study1And2	0.18						
A_P	derby-2-2010-study1And2	0.30						
A_P	derby-2-2011-study1And2	0.12						
A_P	derby-2-2012-study1And2	0.16						
ALL	mahout-1-2010-study1And2	0.49						
ALL	mahout-1-2011-study1And2	0.36						
ALL	mahout-1-2012-study1And2	0.18						
ALL	mahout-2-2010-study1And2	0.42						
ALL	mahout-2-2011-study1And2	0.38						
ALL	mahout-2-2012-study1And2	0.16						
A	mahout-1-2010-study1And2	0.41						
A	mahout-1-2011-study1And2	0.30						
A	mahout-1-2012-study1And2	0.29						
A	mahout-2-2010-study1And2	0.33						
A	mahout-2-2011-study1And2	0.28						
A	mahout-2-2012-study1And2	0.10						
P	mahout-1-2010-study1And2	0.35						
P	mahout-1-2011-study1And2	0.25						
P	mahout-1-2012-study1And2	0.25						
P	mahout-2-2010-study1And2	0.30						
P	mahout-2-2011-study1And2	0.26						
P	mahout-2-2012-study1And2	0.20						
S	mahout-1-2010-study1And2	0.35						
S	mahout-1-2011-study1And2	0.20						
S	mahout-1-2012-study1And2	0.26						
S	mahout-2-2010-study1And2	0.16						
S	mahout-2-2011-study1And2	0.11						
S	mahout-2-2012-study1And2	0.04
S_A	mahout-1-2010-study1And2	0.46						
S_A	mahout-1-2011-study1And2	0.32						
S_A	mahout-1-2012-study1And2	0.29						
S_A	mahout-2-2010-study1And2	0.40						
S_A	mahout-2-2011-study1And2	0.31						
S_A	mahout-2-2012-study1And2	0.10						
S_P	mahout-1-2010-study1And2	0.39						
S_P	mahout-1-2011-study1And2	0.32						
S_P	mahout-1-2012-study1And2	0.18						
S_P	mahout-2-2010-study1And2	0.37						
S_P	mahout-2-2011-study1And2	0.35						
S_P	mahout-2-2012-study1And2	0.03						
A_P	mahout-1-2010-study1And2	0.44						
A_P	mahout-1-2011-study1And2	0.32						
A_P	mahout-1-2012-study1And2	0.25						
A_P	mahout-2-2010-study1And2	0.38						
A_P	mahout-2-2011-study1And2	0.35						
A_P	mahout-2-2012-study1And2	0.32
ALL	tomcat-1-2006-study1And2	0.67						
ALL	tomcat-1-2007-study1And2	0.38						
ALL	tomcat-1-2008-study1And2	0.41						
ALL	tomcat-1-2009-study1And2	0.53						
ALL	tomcat-1-2010-study1And2	0.49						
ALL	tomcat-1-2011-study1And2	0.76						
ALL	tomcat-1-2012-study1And2	0.27						
ALL	tomcat-2-2006-study1And2	0.41						
ALL	tomcat-2-2007-study1And2	0.24						
ALL	tomcat-2-2008-study1And2	0.48						
ALL	tomcat-2-2009-study1And2	0.53						
ALL	tomcat-2-2010-study1And2	0.32						
ALL	tomcat-2-2011-study1And2	0.39						
ALL	tomcat-2-2012-study1And2	0.41						
A	tomcat-1-2006-study1And2	0.07						
A	tomcat-1-2007-study1And2	0.40						
A	tomcat-1-2008-study1And2	0.52						
A	tomcat-1-2009-study1And2	0.41						
A	tomcat-1-2010-study1And2	0.40						
A	tomcat-1-2011-study1And2	0.34						
A	tomcat-1-2012-study1And2	0.19						
A	tomcat-2-2006-study1And2	0.43						
A	tomcat-2-2007-study1And2	0.09						
A	tomcat-2-2008-study1And2	0.46						
A	tomcat-2-2009-study1And2	0.46						
A	tomcat-2-2010-study1And2	0.28						
A	tomcat-2-2011-study1And2	0.37						
A	tomcat-2-2012-study1And2	0.35						
P	tomcat-1-2006-study1And2	0.62						
P	tomcat-1-2007-study1And2	0.44						
P	tomcat-1-2008-study1And2	0.31						
P	tomcat-1-2009-study1And2	0.37						
P	tomcat-1-2010-study1And2	0.37						
P	tomcat-1-2011-study1And2	0.65						
P	tomcat-1-2012-study1And2	0.25						
P	tomcat-2-2006-study1And2	0.32						
P	tomcat-2-2007-study1And2	0.11						
P	tomcat-2-2008-study1And2	0.31						
P	tomcat-2-2009-study1And2	0.46						
P	tomcat-2-2010-study1And2	0.32						
P	tomcat-2-2011-study1And2	0.33						
P	tomcat-2-2012-study1And2	0.35						
S	tomcat-1-2006-study1And2	0.00						
S	tomcat-1-2007-study1And2	0.42						
S	tomcat-1-2008-study1And2	0.19						
